target_gene	experiment_type	cell_line	gene_silencing_series	experiment_id	experiment_doi	sample_id	rin	read_depth	bio_rep	tech_rep	sex	age	life_stage	gene_quantification_id	file_format	output_type	genome_annotation	mapped_run_type	lab	assay	cellosaurus	biosample	document	biosample_alias	nucleic_acid_type	extraction_method	fragmentation_method	size_selection_method	strand_specificity	Splicing_regulation	Spliceosome	Exon_junction_complex	NMD
AKAP1	case	HepG2	ENCSR220SFY	ENCSR016IDR	10.17989/ENCSR016IDR	ENCFF371XWR	9.4	34207000	1	1_1	male	15	child	ENCFF650KHH	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB757ABL	/documents/f08f3256-32f0-4a46-8965-6cf9ac38a400/	AKAP1-BGHLV12-3	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	case	HepG2	ENCSR220SFY	ENCSR016IDR	10.17989/ENCSR016IDR	ENCFF633XBM	9.3	34208697	2	2_1	male	15	child	ENCFF213VHM	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB648OBM	/documents/f08f3256-32f0-4a46-8965-6cf9ac38a400/	AKAP1-BGHLV12-4	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	control	HepG2	ENCSR220SFY	ENCSR237YZT	10.17989/ENCSR237YZT	ENCFF335ETY	8.9	35639393	2	2_1	male	15	child	ENCFF548ZDN	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	control	HepG2	ENCSR220SFY	ENCSR237YZT	10.17989/ENCSR237YZT	ENCFF745CDS	8.9	33482597	1	1_1	male	15	child	ENCFF785WTG	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	case	K562	ENCSR533CRH	ENCSR338CON	10.17989/ENCSR338CON	ENCFF377UTD	9.4	22183758	1	1_1	female	53	adult	ENCFF087FEN	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB659HCY	/documents/0b745c9a-dd8b-4be4-b2e3-842c44485ec4/	AKAP1-LV08-3	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	case	K562	ENCSR533CRH	ENCSR338CON	10.17989/ENCSR338CON	ENCFF962ALJ	9.3	23120612	2	2_1	female	53	adult	ENCFF895SOI	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	ENCLB292HMQ	/documents/8c7aca2e-0131-4858-b42e-8fcbda404ad3/	AKAP1-LV08-4	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	control	K562	ENCSR533CRH	ENCSR913CAE	10.17989/ENCSR913CAE	ENCFF542NNE	9.2	25907368	1	1_1	female	53	adult	ENCFF268SFP	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
AKAP1	control	K562	ENCSR533CRH	ENCSR913CAE	10.17989/ENCSR913CAE	ENCFF510CPU	9.2	22190818	2	2_1	female	53	adult	ENCFF892SIG	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0004	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	0	0	0	0
APOBEC3C	case	HepG2	ENCSR153LWS	ENCSR012DAF	10.17989/ENCSR012DAF	ENCFF286DJK	9.9	21143238	1	1_1	male	15	child	ENCFF365DYX	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB227OGF	/documents/87b6b922-8f98-42ec-ae90-a244f64b31a6/	APOBE-BGHLV22-3_17748	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	NA	NA	NA	0
APOBEC3C	case	HepG2	ENCSR153LWS	ENCSR012DAF	10.17989/ENCSR012DAF	ENCFF873AZG	9.9	25146848	2	2_1	male	15	child	ENCFF321VPA	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	ENCLB915COF	/documents/e9e619a6-9e2d-4a35-b33b-16cc5611503e/	APOBE-BGHLV22-4_17749	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	NA	NA	NA	0
APOBEC3C	control	HepG2	ENCSR153LWS	ENCSR279HMU	10.17989/ENCSR279HMU	ENCFF931LCX	9.8	22115805	1	1_1	male	15	child	ENCFF154UWD	bam	alignments	V29	paired-ended	Brenton Graveley, UConn	shRNA knockdown followed by RNA-seq	Cellosaurus:CVCL_0027	NA	NA	NA	polyadenylated mRNA	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	chemical (Illumina TruSeq)	SPRI beads	reverse	NA	NA	NA	0
